id	Sample_01	Sample_02	Sample_03	Sample_04	Sample_05	Sample_06	Sample_07	Sample_08	Sample_09	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18
class	Control	Control	Control	Control	Control	Control	Control	Control	Control	Lungs	Lungs	Lungs	Lungs	Lungs	Lungs	Lungs	Lungs	Lungs
ENSG00000124228	4.087462841		6.303780748	5.357552005	5.087462841	5.129283017	5.044394119	6	6.658211483	0	4.523561956	2.584962501	5.426264755		3.169925001		4	5.554588852
ENSG00000124233					0													
ENSG00000124243		2.807354922			4.169925001		1		1		2						2	1
ENSG00000124256					5.247927513	5.491853096			5.727920455		1.584962501		0		0		1.584962501	1.584962501
ENSG00000124257																0		
ENSG00000124275	1.584962501	4.95419631			1.584962501	5.209453366	6.357552005	6.658211483	2	4	2.807354922		4		3.321928095		2.807354922	5.491853096
ENSG00000124279	2.807354922				3.807354922	0			3.584962501				2.584962501					
ENSG00000124299	6.209453366	5.087462841	6.285402219	5.044394119	6.894817763	5.584962501	5.906890596	4.247927513	7.87036472	5	6.882643049		4.392317423	3.906890596	5.087462841	3.906890596	4.247927513	4.700439718
ENSG00000124302	3.807354922	0	1.584962501	3	4.169925001	3	4.857980995	3	4.087462841	3.321928095	3		0	1.584962501	3.459431619		0	2
ENSG00000124313		0											0				1	
ENSG00000124333	8.912889336	8.375039431	8.997179481	7.936637939	8.28077077	9.194756854	8.864186145	9.036173613	9.46760555	7.285402219	8.839203788	9.344295908	9.022367813	7.882643049	8.829722735	8.299208018	8.647458426	8.876516947
ENSG00000124356	6.794415866	1.584962501			5.930737338	4.807354922	6.672425342	5.491853096	6.14974712	3.906890596	5.209453366		4.247927513	3.584962501	4.392317423	4.321928095	1	4.584962501
ENSG00000124357	5.523561956	6.741466986	6.087462841	5.857980995	7.17990909	6.209453366	4	6.599912842	7.936637939	3	5.044394119	0	6.22881869		2.807354922		4.321928095	4.64385619
ENSG00000124370			1.584962501		1				4.087462841	1			2		0		0	
ENSG00000124374						0												
ENSG00000124380	4.906890596	2	4.169925001	4.64385619	4.906890596	5.727920455	6.409390936	5.169925001	6.087462841	4.247927513	4.857980995	4.459431619	3.700439718	2.321928095	3.906890596	4.523561956	3	3.321928095
