Gene_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000005187	24.75771964	1.510899365	1.255086578	1.203820829	0.228658837	0.496798337
ENSG00000005189	17.30500569	-1.403045476	0.892257112	-1.572467685	0.115842128	0.338522188
ENSG00000005194	43.58492162	-0.42395792	0.630547231	-0.67236505	0.501351327	0.739177058
ENSG00000005206	1.50080729	2.916712901	1.649580993	1.7681538	0.077035195	0.261927923
ENSG00000005238	26.21971246	0.03548375	0.612011353	0.057978908	0.953765429	0.982838351
ENSG00000005243	0.407238046	2.316142666	3.033827522	0.763439137	0.445201547	NA
ENSG00000005249	1083.074642	1.447365444	0.319451697	4.530780261	5.88E-06	0.000230486
ENSG00000005302	21.06367631	0.202472803	0.687633562	0.294448692	0.768415064	0.9013258
ENSG00000005339	17.32949698	3.190691204	0.748025571	4.265484135	1.99E-05	0.000634102
ENSG00000005379	0.710138659	-1.981063157	2.988267853	-0.662946983	0.50736451	NA
ENSG00000005381	0.493450676	-1.096410085	2.999553921	-0.365524379	0.714720012	NA
ENSG00000005436	1.056971655	0.25814513	2.96213804	0.087148245	0.930553678	NA
ENSG00000005448	0.227337315	0.909760949	3.04143303	0.299122466	0.764846605	NA
ENSG00000005469	4.713696851	-0.824334196	1.476284077	-0.558384534	0.576581832	0.791901881
ENSG00000005483	422.4177774	-0.484591819	0.205650965	-2.356379989	0.01845403	0.106764692
ENSG00000005486	33.94943279	-1.51314854	0.406445883	-3.722878252	0.000196965	0.003710572
ENSG00000005700	14.64574624	1.280060148	1.101630261	1.161968941	0.245248081	0.515652731
ENSG00000005801	3.788682492	-3.893753777	1.163604923	-3.346285066	0.000819021	0.010976826
ENSG00000005810	137.2467576	0.595601032	0.485973987	1.225582126	0.220355968	0.487258545
ENSG00000005812	2.840112937	0.504047727	1.210907612	0.416256139	0.677222584	0.853334147
ENSG00000005844	10.7850679	1.036925062	1.080596608	0.959585709	0.337263765	0.610755488
ENSG00000005882	72.17564879	-0.012483681	0.382863666	-0.032606075	0.973988726	0.989441736
ENSG00000005889	7.676411568	-0.516156369	1.230401158	-0.419502506	0.674848924	0.852113569
ENSG00000005893	204.2851666	-0.13288471	0.305240086	-0.435344886	0.663312109	0.843580627
ENSG00000005955	32.43129477	-0.803094975	0.666383115	-1.205155047	0.228143453	0.496154508
ENSG00000005961	8343.830254	0.85339541	0.173569148	4.916745974	8.80E-07	4.64E-05
ENSG00000006007	146.6131738	-0.773595623	0.249342066	-3.102547574	0.001918627	0.020595689
ENSG00000006015	12.97928542	-1.165952059	0.49319652	-2.364071952	0.018075302	0.105316347
ENSG00000006062	0.746498851	-0.464951279	1.998284935	-0.232675166	0.816013655	NA
ENSG00000006074	0.462399749	1.187922658	2.079598169	0.571227017	0.567845767	NA
ENSG00000006075	2.342417057	0.027652255	1.137369082	0.024312473	0.980603364	0.992212026
ENSG00000006114	12.09442753	0.524249898	0.908168739	0.577260453	0.563763525	0.784576386
ENSG00000006125	206.9982884	2.065650079	0.289251237	7.141369908	9.24E-13	2.62E-10
ENSG00000006282	3.432739951	-2.870347799	2.266259595	-1.266557373	0.205313602	0.469600526
ENSG00000006451	20.24970234	-0.387621343	0.934273606	-0.414890606	0.678221987	0.853752224
ENSG00000006459	34.78396289	1.305497423	0.934060737	1.397657959	0.162215805	0.411892709
ENSG00000006530	1.572539995	1.828732458	1.71770061	1.064639814	0.287038955	0.560468305
ENSG00000006534	2.287302345	-2.818219961	1.527374101	-1.845140598	0.065017089	0.23800195
ENSG00000006576	89.40491329	0.763344065	0.567700486	1.344624644	0.178746481	0.435248022
